N,TempReal,dcPWM
795,23.6,17
796,23.8,17
797,23.5,17
798,23.1,17
799,23.3,17
800,23.1,17
801,23.5,17
802,23.2,17
803,23.1,17
804,23.2,17
805,23.4,17
806,23.6,17
807,23.3,17
808,23.4,17
809,23.7,17
810,23.4,17
811,23.5,17
812,23.5,17
813,23.3,17
814,23.5,17
815,23.2,17
816,23.5,17
817,23.5,17
818,23.2,17
819,23.2,17
820,23.6,17
821,22.8,17
822,23.2,17
823,23.3,17
824,23.2,17
825,23.2,17
826,23.0,17
827,23.3,17
828,23.2,17
829,24.2,17
830,23.2,17
831,23.2,17
832,23.1,17
833,23.2,17
834,22.9,17
835,23.1,17
836,23.1,17
837,23.2,17
838,23.1,17
839,23.4,17
840,23.5,17
841,22.9,17
842,23.4,17
843,23.2,17
844,23.2,17
845,23.3,17
846,23.7,17
847,22.9,17
848,23.0,17
849,23.0,17
850,23.0,17
851,22.2,17
852,23.0,17
853,23.1,17
854,22.9,17
855,23.0,17
856,23.1,17
857,23.0,17
858,23.2,17
859,22.9,17
860,23.2,17
861,23.0,17
862,22.8,17
863,22.9,17
864,22.8,17
865,23.2,17
866,22.3,17
867,23.0,17
868,23.3,17
869,23.3,17
870,23.1,17
871,23.2,17
872,22.8,17
873,23.2,17
874,22.8,17
875,22.6,17
876,22.9,17
877,23.1,17
878,22.9,17
879,23.0,17
880,23.1,17
881,22.9,17
882,23.0,17
883,23.0,17
884,22.8,17
885,22.9,17
886,22.7,17
887,23.2,17
888,22.6,17
889,22.9,17
890,23.2,17
891,22.9,17
892,23.0,17
893,22.8,17
894,23.0,17
895,22.8,17
896,23.2,17
897,22.9,17
898,23.1,17
899,22.6,17
900,22.9,17
901,22.9,17
902,23.0,17
903,23.1,17
904,22.7,17
905,22.9,17
906,23.2,17
907,23.2,17
908,22.9,17
909,22.9,17
910,22.8,17
911,23.0,17
912,22.6,17
913,22.5,17
914,22.5,17
915,22.7,17
916,22.8,17
917,23.1,17
918,22.8,17
919,23.1,17
920,23.0,17
921,22.8,17
922,22.7,17
923,22.9,17
924,22.9,17
925,22.9,17
926,23.1,17
927,22.6,17
928,23.0,17
929,22.2,17
930,22.9,17
931,23.0,17
932,22.5,17
933,22.8,17
934,23.0,17
935,22.9,17
936,22.9,17
937,23.0,17
938,22.7,17
939,23.0,17
940,22.8,17
941,22.8,17
942,22.8,17
943,23.1,17
944,22.9,17
945,22.6,17
946,22.6,17
947,22.7,17
948,22.9,17
949,23.0,17
950,22.9,17
951,22.8,17
952,22.8,17
953,23.2,17
954,22.7,17
955,22.5,17
956,22.6,17
957,22.7,17
958,22.4,17
959,22.1,17
960,22.5,17
961,22.6,17
962,22.7,17
963,22.1,17
964,22.7,17
965,22.6,17
966,22.5,17
967,22.3,17
968,22.6,17
969,22.8,17
970,22.6,17
971,22.4,17
972,22.8,17
973,22.5,17
974,22.4,17
975,22.4,17
976,22.0,17
977,23.9,17
978,22.5,17
979,23.0,17
980,22.5,17
981,22.5,17
982,22.6,17
983,23.0,17
984,22.6,17
985,22.6,17
986,22.7,17
987,22.2,17
988,22.3,17
989,22.5,17
990,22.4,17
991,22.0,17
992,22.8,17
993,22.5,17
994,22.7,17
995,22.7,17
996,22.5,17
997,22.5,17
998,22.3,17
999,22.2,17
1000,22.2,17
1001,22.3,17
1002,22.2,17
1003,22.1,17
1004,22.2,17
1005,21.9,17
1006,22.3,17
1007,22.3,17
1008,22.0,17
1009,23.2,17
1010,22.2,17
1011,21.9,17
1012,21.9,17
1013,21.9,17
1014,23.2,47
1015,21.5,47
1016,22.4,47
1017,21.3,47
1018,22.0,47
1019,21.9,47
1020,23.1,47
1021,22.4,47
1022,22.7,47
1023,23.2,47
1024,22.6,47
1025,23.1,47
1026,22.9,47
1027,23.0,47
1028,22.9,47
1029,23.3,47
1030,24.0,47
1031,23.5,47
1032,24.2,47
1033,24.0,47
1034,24.2,47
1035,23.9,47
1036,24.1,47
1037,24.3,47
1038,24.4,47
1039,24.2,47
1040,24.5,47
1041,24.8,47
1042,25.2,47
1043,25.7,47
1044,25.6,47
1045,25.6,47
1046,25.8,47
1047,25.7,47
1048,25.8,47
1049,25.9,47
1050,25.6,47
1051,26.5,47
1052,26.9,47
1053,26.7,47
1054,26.8,47
1055,28.1,47
1056,28.2,47
1057,28.0,47
1058,28.4,47
1059,28.7,47
1060,29.3,47
1061,29.1,47
1062,29.8,47
1063,29.5,47
1064,29.9,47
1065,31.3,47
1066,30.5,47
1067,30.7,47
1068,30.7,47
1069,31.3,47
1070,31.0,47
1071,31.7,47
1072,31.9,47
1073,31.9,47
1074,32.0,47
1075,32.2,47
1076,32.0,47
1077,32.8,47
1078,33.0,47
1079,33.3,47
1080,33.3,47
1081,33.2,47
1082,33.7,47
1083,35.0,47
1084,33.6,47
1085,34.0,47
1086,34.0,47
1087,34.6,47
1088,35.0,47
1089,34.8,47
1090,35.0,47
1091,35.4,47
1092,35.6,47
1093,35.6,47
1094,35.9,47
1095,36.0,47
1096,36.6,47
1097,37.4,47
1098,37.9,47
1099,38.1,47
1100,38.5,47
1101,38.8,47
1102,38.6,47
1103,38.5,47
1104,39.0,47
1105,39.2,47
1106,39.5,47
1107,39.7,47
1108,39.9,47
1109,40.1,47
1110,39.7,47
1111,39.4,47
1112,40.3,47
1113,40.9,47
1114,40.7,47
1115,40.9,47
1116,41.1,47
1117,41.0,47
1118,41.3,47
1119,42.4,47
1120,41.7,47
1121,44.0,47
1122,41.6,47
1123,42.0,47
1124,42.2,47
1125,42.1,47
1126,42.1,47
1127,42.2,47
1128,42.6,47
1129,42.2,47
1130,41.9,47
1131,42.2,47
1132,42.6,47
1133,42.9,47
1134,43.1,47
1135,42.9,47
1136,42.9,47
1137,43.0,47
1138,43.3,47
1139,43.3,47
1140,44.3,47
1141,43.6,47
1142,43.4,47
1143,44.4,47
1144,43.6,47
1145,43.7,47
1146,43.7,47
1147,43.7,47
1148,44.0,47
1149,43.9,47
1150,45.0,47
1151,43.8,47
1152,43.9,47
1153,43.7,47
1154,43.7,47
1155,43.9,47
1156,44.1,47
1157,44.0,47
1158,44.0,47
1159,44.1,47
1160,43.2,47
